"No.","Time","Source","Destination","Protocol","Length","Info"
"500","104.762533","157.240.195.54","10.0.0.6","TCP","315","5222  >  56478 [PSH, ACK] Seq=63774 Ack=933 Win=3489 Len=261 [TCP segment of a reassembled PDU]"
"501","104.762533","157.240.195.54","10.0.0.6","TCP","326","5222  >  56478 [PSH, ACK] Seq=64035 Ack=933 Win=3489 Len=272 [TCP segment of a reassembled PDU]"
"502","104.762741","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=933 Ack=64307 Win=516 Len=0"
"503","104.778862","10.0.0.6","157.240.195.54","TCP","115","56478  >  5222 [PSH, ACK] Seq=933 Ack=64307 Win=516 Len=61 [TCP segment of a reassembled PDU]"
"506","104.832723","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=64307 Ack=994 Win=3489 Len=0"
"590","122.266700","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=64307 Ack=994 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"591","122.271727","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=65699 Ack=994 Win=3489 Len=99 [TCP segment of a reassembled PDU]"
"592","122.271816","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=994 Ack=65798 Win=516 Len=0"
"593","122.272113","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=65798 Ack=994 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"594","122.272113","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=67190 Ack=994 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"595","122.272180","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=994 Ack=67298 Win=516 Len=0"
"596","122.272842","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=67298 Ack=994 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"597","122.272842","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=68690 Ack=994 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"598","122.272903","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=994 Ack=68798 Win=516 Len=0"
"599","122.273074","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=68798 Ack=994 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"600","122.273074","157.240.195.54","10.0.0.6","TCP","315","5222  >  56478 [PSH, ACK] Seq=70190 Ack=994 Win=3489 Len=261 [TCP segment of a reassembled PDU]"
"601","122.273123","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=994 Ack=70451 Win=516 Len=0"
"602","122.273796","157.240.195.54","10.0.0.6","TCP","710","5222  >  56478 [PSH, ACK] Seq=70451 Ack=994 Win=3489 Len=656 [TCP segment of a reassembled PDU]"
"603","122.288937","10.0.0.6","157.240.195.54","TCP","115","56478  >  5222 [PSH, ACK] Seq=994 Ack=71107 Win=514 Len=61 [TCP segment of a reassembled PDU]"
"604","122.341953","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=71107 Ack=1055 Win=3489 Len=0"
